,Name,Lat,Long,Rating,Price_Level,Place_ID,grid,counts,bur,percent,scaled
124,Bâtard,40.7195598,-74.0057489,4.2,3.0,ChIJc1uHuopZwokReG0qC_lrCd8,"(202, 193)",389,Manhattan,0.429506784882,0.429506784882
125,Skál,40.7147797,-73.9909249,4.3,0.0,ChIJh08SpSlawokRkoHsz3T0TNI,"(213, 189)",388,Manhattan,0.42840265433,0.42840265433
126,Fung Tu,40.7153193,-73.9914126,4.4,2.0,ChIJmz2PtilawokRLesoFstDj_o,"(213, 189)",388,Manhattan,0.42840265433,0.42840265433
127,Ippudo Westside,40.7634912,-73.9865856,4.5,3.0,ChIJB9vaBFdYwokRketCYydnSBM,"(217, 228)",352,Manhattan,0.388653954444,0.388653954444
128,Sushi Dojo,40.7266342,-73.9856625,4.3,2.0,ChIJeaXCJp1ZwokRL8asiigH-UM,"(218, 198)",346,Manhattan,0.382029171129,0.382029171129
129,Russ & Daughters Cafe,40.7196729,-73.9896809,4.6,2.0,ChIJ53yq2oZZwokRqIHSP4qZT3o,"(214, 193)",317,Manhattan,0.35000938511,0.35000938511
130,La Contenta ~ Cocina del Barrio,40.7187334,-73.9869392,4.8,2.0,ChIJdZGxHYFZwokRj85WGKuKF2k,"(217, 192)",315,Manhattan,0.347801124005,0.347801124005
131,Fu Run Restaurant,40.758655,-73.831564,4.3,2.0,ChIJ1wLjcg5gwokRmXhoMjydiAk,"(341, 224)",1,Queens,0.346020761246,0.0124803970305
132,il Buco Alimentari & Vineria,40.7265231,-73.992501,4.1,0.0,ChIJYUQdLoVZwokRBjKzg6PAaa8,"(212, 198)",312,Manhattan,0.344488732348,0.344488732348
133,Le Philosophe,40.7257082,-73.9926724,4.2,3.0,ChIJM-5PPIVZwokRR4KanQL_iuQ,"(212, 198)",312,Manhattan,0.344488732348,0.344488732348
134,The Musket Room,40.7239422,-73.9938063,4.7,2.0,ChIJ3TJ4moVZwokRkyy0hZnv_RA,"(211, 196)",300,Manhattan,0.331239165719,0.331239165719
135,Two Hands Restaurant & Bar,40.7177931,-74.0054175,4.5,1.0,ChIJ256pFiBawokR-JFcFPAz7Ig,"(202, 191)",294,Manhattan,0.324614382405,0.324614382405
136,Alder,40.7297315,-73.9871813,3.9,3.0,ChIJUwK-QJxZwokRxqfh2Yp6r-s,"(216, 201)",290,Manhattan,0.320197860195,0.320197860195
137,L.E.S Kitchen,40.715178,-73.9900949,4.1,0.0,ChIJAU5flClawokRkHPpKtkThBw,"(214, 189)",282,Manhattan,0.311364815776,0.311364815776
138,Amelie Wine Bar,40.7326753,-73.9976632,4.4,2.0,ChIJja0-KpdZwokRuOHSWneCBxE,"(208, 203)",276,Manhattan,0.304740032461,0.304740032461
139,Luke's Lobster,40.704516,-74.0109683,4.3,2.0,ChIJEdxJIBRawokRK4AqcCIkKbA,"(197, 181)",275,Manhattan,0.303635901909,0.303635901909
140,Mission Chinese Food,40.7138638,-73.9896787,4.0,2.0,ChIJ8RGuUoFZwokRwXIRS4LyjXc,"(214, 188)",275,Manhattan,0.303635901909,0.303635901909
141,The Greek,40.7237043,-74.009676,4.2,2.0,ChIJf4befPRZwokRH2WqZhtiGuo,"(199, 196)",244,Manhattan,0.269407854785,0.269407854785
142,New York Sushi Ko,40.7186677,-73.9855351,4.2,4.0,ChIJ36Q3rIFZwokR3mpcdl_ScvY,"(218, 192)",237,Manhattan,0.261678940918,0.261678940918
143,Birds & Bubbles,40.7182826,-73.9926402,4.4,2.0,ChIJBdpqvYdZwokRa0VNSO7BjK0,"(212, 192)",229,Manhattan,0.252845896499,0.252845896499
144,Joe's Shanghai,40.714655,-73.9977528,4.0,2.0,ChIJ7WQY-CZawokRf994dcNzViM,"(208, 189)",180,Manhattan,0.198743499431,0.198743499431
145,Fish Market,40.7071693,-74.0019226,4.2,2.0,ChIJ4_EelTxawokRIrVex08F1xQ,"(205, 183)",178,Manhattan,0.196535238327,0.196535238327
146,Ivan Ramen,40.7205319,-73.9845646,4.0,2.0,ChIJreEXi4FZwokR_ygs7wh2fTk,"(219, 193)",140,Manhattan,0.154578277336,0.154578277336
147,The Cecil,40.8047705,-73.952519,3.7,2.0,ChIJoUvcXRH2wokRAhEdgCkJpKQ,"(244, 261)",124,Manhattan,0.136912188497,0.136912188497
148,Breakroom Burgers & Tacos,40.716585,-73.9996475,4.3,0.0,ChIJAY1jOCdawokRmDGtrleRmys,"(207, 190)",99,Manhattan,0.109308924687,0.109308924687
149,Fresh Salt,40.707086,-74.002481,4.4,2.0,ChIJN8ko6jxawokRh4mOVeF82dg,"(204, 183)",98,Manhattan,0.108204794135,0.108204794135
150,Hudson Eats,40.7128921,-74.015701,4.5,2.0,ChIJfz_DABtawokRenTAxMoEjdI,"(194, 187)",28,Manhattan,0.0309156554671,0.0309156554671
