Name,Lat,Long,burs,grid,counts,percent
la nuit,40.7616011,-73.9601846,Manhattan,"(238, 226)",68.0,0.270916334661
pacha nyc,40.7636971,-73.9975487,Manhattan,"(208, 228)",68.0,0.270916334661
ava rooftop lounge,40.7644231,-73.9819603,Manhattan,"(221, 228)",73.0,0.290836653386
visana,40.73425,-73.98069,Manhattan,"(222, 204)",76.0,0.302788844622
lumos bar,40.72719,-73.99999,Manhattan,"(206, 199)",76.0,0.302788844622
sky room,40.7564458,-73.9924914,Manhattan,"(212, 222)",78.0,0.310756972112
stage karaoke & lounge,40.747882,-73.986656,Manhattan,"(217, 215)",79.0,0.314741035857
il bastardo,40.7429175,-73.9961927,Manhattan,"(209, 211)",87.0,0.346613545817
latin quarters,40.7548069,-73.9731814,Manhattan,"(228, 221)",92.0,0.366533864542
international bar,40.7270798947,-73.9854097366,Manhattan,"(218, 199)",97.0,0.386454183267
cielo,40.7397342,-74.0070218,Manhattan,"(201, 209)",97.0,0.386454183267
opus 51,40.7395274,-74.0069051,Manhattan,"(201, 209)",97.0,0.386454183267
opus 51 nyc,40.7395274,-74.0069051,Manhattan,"(201, 209)",97.0,0.386454183267
rdv,40.7406909,-74.006444,Manhattan,"(201, 209)",97.0,0.386454183267
tenjune,40.7398399,-74.0071747,Manhattan,"(201, 209)",97.0,0.386454183267
vip room,40.7406909,-74.006444,Manhattan,"(201, 209)",97.0,0.386454183267
vip room ,40.7406909,-74.006444,Manhattan,"(201, 209)",97.0,0.386454183267
webster hall nyc,40.7317694,-73.9891064,Manhattan,"(215, 202)",101.0,0.402390438247
5 bar karaoke & lounge,40.747923052,-73.9873537461,Manhattan,"(216, 215)",108.0,0.430278884462
wicked willy's,40.7284254,-73.9992499,Manhattan,"(207, 200)",112.0,0.446215139442
turtle bay nyc,40.756423,-73.967798,Manhattan,"(232, 222)",116.0,0.462151394422
the library,40.7226142883,-73.9863433838,Manhattan,"(217, 195)",121.0,0.482071713147
attic rooftop & lounge,40.7610063,-73.986587,Manhattan,"(217, 226)",127.0,0.505976095618
the village underground,40.730693567,-74.0009226385,Manhattan,"(206, 201)",148.0,0.589641434263
gansevoort park rooftop,40.743899,-73.9841241,Manhattan,"(219, 212)",149.0,0.593625498008
the 55 bar,40.73378,-74.00224,Manhattan,"(204, 204)",173.0,0.689243027888
the duplex,40.7337855865,-74.0024324895,Manhattan,"(204, 204)",173.0,0.689243027888
copacapana,40.760166,-73.9872589,Manhattan,"(216, 225)",174.0,0.693227091633
rooftop 760,40.7601189,-73.9872281,Manhattan,"(216, 225)",174.0,0.693227091633
gilded lily,40.7417779,-74.005795,Manhattan,"(202, 210)",179.0,0.713147410359
marquee nyc,40.7500963,-74.0028306,Manhattan,"(204, 217)",183.0,0.729083665339
the whiskey ward,40.719657,-73.987915,Manhattan,"(216, 193)",202.0,0.804780876494
1oak,40.7440143,-74.0061409,Manhattan,"(201, 212)",213.0,0.848605577689
plunge gansevoort,40.7398532,-74.0057335,Manhattan,"(202, 209)",249.0,0.99203187251
toy,40.7398532,-74.0057335,Manhattan,"(202, 209)",249.0,0.99203187251
dl rooftop,40.7185899,-73.9893704,Manhattan,"(215, 192)",251.0,1.0
hotel chantelle,40.7184061,-73.9889794,Manhattan,"(215, 192)",251.0,1.0
the dl ,40.7185899,-73.9893704,Manhattan,"(215, 192)",251.0,1.0
allure,40.7444818,-73.9315387,Queens,"(261, 212)",0.0,0.0
amadeus nightclub ,40.7395313,-73.8843542,Queens,"(299, 209)",0.0,0.0
arena lounge,40.6991661,-73.8206122,Queens,"(349, 176)",0.0,0.0
forest hills stadium,40.7195973,-73.8472947,Queens,"(328, 193)",0.0,0.0
glazz,40.7340358,-73.8729918,Queens,"(308, 204)",0.0,0.0
resort world casino,40.6723901,-73.8299692,Queens,"(342, 155)",0.0,0.0
rv rooftop,40.6494169,-73.8373217,Queens,"(336, 137)",0.0,0.0
the rush lounge ,40.6871995,-73.8356324,Queens,"(337, 167)",0.0,0.0
amazura,40.7001783,-73.8103899,Queens,"(358, 177)",1.0,0.0333333333333
baroque astoria ,40.7773219,-73.9006382,Queens,"(286, 239)",1.0,0.0333333333333
vue sky lounge,40.6877242,-73.8209377,Queens,"(349, 167)",1.0,0.0333333333333
coco bongo nyc,40.7529084,-73.9236203,Queens,"(267, 219)",2.0,0.0666666666667
