Name,Lat,Long,Rating,Price_Level,Place_ID
HIROHISA,40.7245498,-74.0030422,4.7,3.0,ChIJXW6IXYxZwokR-i9saEWMIBY
Ichimura at Brushstroke,40.7166218,-74.0089449,4.7,4.0,ChIJKVhcBx9awokRPkHPBYaXU14
il Buco Alimentari & Vineria,40.7265231,-73.992501,4.1,,ChIJYUQdLoVZwokRBjKzg6PAaa8
Ippudo Westside,40.7634912,-73.9865856,4.5,3.0,ChIJB9vaBFdYwokRketCYydnSBM
Juni,40.7460822,-73.9852007,4.5,4.0,ChIJ90MUcKhZwokRrn9xnAzOh1s
Khe-Yo,40.7169041,-74.0085972,4.6,2.0,ChIJb6jHpx9awokRj6rvb31V6WM
Kura,40.726702,-73.983571,4.9,,ChIJmUJ0XZ1ZwokR92Sy6lfEnpU
L'Apicio,40.724452,-73.9915614,4.0,3.0,ChIJnwL0A4VZwokRta3QoYFJ9CM
Le Philosophe,40.7257082,-73.9926724,4.2,3.0,ChIJM-5PPIVZwokRR4KanQL_iuQ
Little Prince,40.7268575,-74.0027225,4.4,3.0,ChIJ5c-evI1ZwokRhHh6FjhuLH8
Luksus,40.7234209,-73.9507884,4.4,4.0,ChIJlaFjTURZwokRvsN6V805OEk
Rose's,40.6789834,-73.9734269,4.0,2.0,ChIJYcr4z6hbwokRCJzk0UHRm4A
The Marrow,40.7366596,-74.0063594,4.1,3.0,ChIJKSOCLJVZwokRy0ywjKcB4zo
Maysville,40.7442416,-73.9894991,4.3,3.0,ChIJbafTz6VZwokRMOYaspUwj28
Mighty Quinn's BBQ,40.7275864,-73.9886757,4.4,1.0,ChIJmY35mpxZwokRqGzYDD-4sJI
Mile End Delicatessen,40.6874553,-73.9870655,4.2,2.0,ChIJLb9vlE1awokRL4Ume5zpejQ
Mission Cantina,40.721504,-73.9883193,3.4,2.0,ChIJ4YU4_INZwokRQHiBwj-zVhE
Montmartre,40.7420061,-74.0005878,4.4,3.0,ChIJ7YCJp75ZwokRKqW3TfnNLhs
The Musket Room,40.7239422,-73.9938063,4.7,2.0,ChIJ3TJ4moVZwokRkyy0hZnv_RA
New York Sushi Ko,40.7186677,-73.9855351,4.2,4.0,ChIJ36Q3rIFZwokR3mpcdl_ScvY
Nightingale Nine,40.6805921,-73.9944041,4.1,1.0,ChIJFZZxKlhawokR6UnsABUXZPY
Pearl & Ash,40.7220137,-73.9937583,4.1,3.0,ChIJTwUiDIZZwokR4m7uqSHRCYg
Piora,40.7306321,-74.0065901,4.7,3.0,ChIJ68STMu1ZwokRZE3E0KQLG28
Pok Pok Ny,40.6875976,-74.0012512,4.2,2.0,ChIJycIXvVxawokRRHMvIHVBMPs
Quality Italian,40.764518,-73.976763,4.5,3.0,ChIJsTgQqfBYwokRU3iwRQ4U0Hc
RedFarm,40.7341954,-74.0064599,4.4,3.0,ChIJx3LV_bWAj4ARlW17cSsmwp4
Rosemary's,40.7348221,-73.999831,4.2,2.0,ChIJCW5gj5ZZwokRtfK4UZxkcr4
Rotisserie Georgette,40.764315,-73.9716858,4.4,3.0,ChIJAUorGfBYwokRzWgbplACCGE
Salvation Taco,40.7494263,-73.9765556,3.7,2.0,ChIJaSDr-ANZwokR_Ae8YjX2UwA
Skál,40.7147797,-73.9909249,4.3,,ChIJh08SpSlawokRkoHsz3T0TNI
Sushi Dojo,40.7266342,-73.9856625,4.3,2.0,ChIJeaXCJp1ZwokRL8asiigH-UM
Sushi Nakazawa,40.7317831,-74.0045627,4.5,4.0,ChIJsw80F5NZwokRcDtxajLLOeA
Umami Burger,40.734368,-73.998456,4.3,1.0,ChIJA5Z08pZZwokRHvZlQs3NjAc
Villard Michel Richard,40.757985,-73.9747542,,3.0,ChIJf7nNZfxYwokRS5iRY5ywSOk
Whiskey Soda Lounge NY,40.6877909,-74.0011472,3.9,2.0,ChIJvRaAr1xawokRqr5eYFW3eos
East 12th Osteria,40.7302159,-73.9836842,4.0,3.0,ChIJB2-q_J1ZwokRHq8B3eEfqek
Hanjan,40.7442454,-73.9906152,4.1,3.0,ChIJTUF2t6VZwokRy5cs0pSuj74
Aldo Sohm Wine Bar,40.7614804,-73.9814283,4.4,2.0,ChIJFbIdkvhYwokRAicwcVjJ2io
All'onda,40.734742,-73.993104,4.0,3.0,ChIJmwCqSZhZwokRaIYiccesPxk
Aquavit,40.7608764,-73.9720004,4.4,4.0,ChIJWfonJ_tYwokRwIGb6Im403E
Bar Bolonat,40.7376571,-74.0058562,4.3,2.0,ChIJA3FKT5VZwokRF7-E3484Cnc
Barchetta,40.7476268,-74.0035374,,3.0,ChIJiSvO0rlZwokRSFEYm8Wdykc
Bar Primi,40.7256715,-73.9917516,4.1,2.0,ChIJSW8U34RZwokR-UhuJkjLDvk
Bar Sardine,40.7343684,-74.0028567,4.9,,ChIJ9azGZ5RZwokRKkfKjaYGszg
Bâtard,40.7195598,-74.0057489,4.2,3.0,ChIJc1uHuopZwokReG0qC_lrCd8
Birds & Bubbles,40.7182826,-73.9926402,4.4,2.0,ChIJBdpqvYdZwokRa0VNSO7BjK0
Black Seed,40.7209046,-73.9946778,4.1,1.0,ChIJV1BBkp1ZwokRpjqvV01uiqg
Cherche Midi,40.7240971,-73.9930672,3.9,2.0,ChIJpzIwwPpYwokRPAKAx9TVHrY
The Clam,40.7303227,-74.0066312,4.2,2.0,ChIJlbeHNO1ZwokRMmA4nr55vBw
Claudette,40.7331929,-73.9959672,4.2,3.0,ChIJgWo3QZdZwokRD0PBopbkTV0
Dirty French,40.721946,-73.987285,4.2,3.0,ChIJrXEiw4NZwokRxp0-JU8sJ-I
élan,40.7388132,-73.9884539,4.1,3.0,ChIJ8T1deaFZwokRTtKgQXspQdY
Fung Tu,40.7153193,-73.9914126,4.4,2.0,ChIJmz2PtilawokRLesoFstDj_o
The Gander,40.7391344,-73.9928421,4.2,2.0,ChIJYVIU4qJZwokRyihNfZyNO1I
Huertas,40.7268446,-73.9862162,4.0,3.0,ChIJ0bez3pxZwokR1q3LfQLrRDU
Ivan Ramen,40.7205319,-73.9845646,4.0,2.0,ChIJreEXi4FZwokR_ygs7wh2fTk
The Long Island Bar,40.6907535,-73.9962953,4.6,2.0,ChIJG-GNokVawokRw5Wz0_cHxbU
