,Name,Lat,Long,counts,burs,grid,percent,Name_Yelp,url
78,keybar,40.7300334908,-73.9818279024,2725.0,Manhattan,"(221, 201)",0.177988242978,Keybar,http://www.yelp.com/biz/keybar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
79,the bowery electric,40.7256938,-73.9916801,2744.0,Manhattan,"(213, 197)",0.17922926192,Bowery Electric,http://www.yelp.com/biz/bowery-electric-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
80,cappello,40.7372498,-74.0006401,2773.0,Manhattan,"(206, 207)",0.181123448726,Cappello,http://www.yelp.com/biz/cappello-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
81,lexicon,40.7576332,-73.9678601,2791.0,Manhattan,"(232, 223)",0.182299150882,Lexicon,http://www.yelp.com/biz/lexicon-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
82,midtown 1015,40.7571667,-73.9672152,2791.0,Manhattan,"(232, 223)",0.182299150882,Midtown 1015,http://www.yelp.com/biz/midtown-1015-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
83,feinstein's/54 below,40.76432,-73.983802,2813.0,Manhattan,"(219, 228)",0.183736120183,Feinstein's/54 Below,http://www.yelp.com/biz/feinsteins-54-below-new-york-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
84,42 west,40.7562322,-73.9880941,2827.0,Manhattan,"(216, 222)",0.184650555193,42 West,http://www.yelp.com/biz/42-west-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
85,shoolbred's,40.731391,-73.98603,2887.0,Manhattan,"(217, 202)",0.188569562378,Shoolbred's,http://www.yelp.com/biz/shoolbreds-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
86,the immigrant,40.728622,-73.985329,3071.0,Manhattan,"(218, 200)",0.200587851078,The Immigrant,http://www.yelp.com/biz/the-immigrant-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
87,49 grove,40.7330979,-74.0037692,3133.0,Manhattan,"(203, 203)",0.204637491835,49 Grove,http://www.yelp.com/biz/49-grove-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
88,nublu,40.722507,-73.979675,3211.0,Manhattan,"(222, 195)",0.209732201176,Nublu,http://www.yelp.com/biz/nublu-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
89,chrystie 141,40.7198043,-73.9933485,3220.0,Manhattan,"(212, 193)",0.210320052253,Chrystie 141,http://www.yelp.com/biz/chrystie-141-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
90,sobs,40.7284492,-74.0051241,3360.0,Manhattan,"(202, 200)",0.219464402351,SOB's,http://www.yelp.com/biz/sobs-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
91,calico jack's cantina,40.7501819,-73.9719162,3361.0,Manhattan,"(229, 217)",0.219529719138,Calico Jack's Cantina,http://www.yelp.com/biz/calico-jacks-cantina-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
92,mcfadden's saloon,40.7500617,-73.971655,3361.0,Manhattan,"(229, 217)",0.219529719138,McFadden's Saloon,http://www.yelp.com/biz/mcfaddens-saloon-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
93,santos party house,40.7177032,-74.0015316,3361.0,Manhattan,"(205, 191)",0.219529719138,Santos Party House,http://www.yelp.com/biz/santos-party-house-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
94,the royal,40.7331655,-73.9897102,3482.0,Manhattan,"(214, 203)",0.227433050294,The Royal,http://www.yelp.com/biz/the-royal-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
95,pinks,40.7287913561,-73.9845903218,3561.0,Manhattan,"(219, 200)",0.232593076421,Pinks,http://www.yelp.com/biz/pinks-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
96,pocket bar nyc,40.7633645,-73.9922985,3712.0,Manhattan,"(212, 228)",0.242455911169,Pocket Bar NYC,http://www.yelp.com/biz/pocket-bar-nyc-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
97,providence nyc,40.7671917,-73.9833088,3730.0,Manhattan,"(220, 231)",0.243631613325,Providence,http://www.yelp.com/biz/providence-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
98,space ibiza new york,40.766805,-73.996215,3730.0,Manhattan,"(209, 230)",0.243631613325,Space Ibiza New York,http://www.yelp.com/biz/space-ibiza-new-york-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
99,pranna,40.7440668,-73.9852222,3891.0,Manhattan,"(218, 212)",0.254147615937,Pranna,http://www.yelp.com/biz/pranna-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
100,bb king,40.7568781,-73.9884067,3989.0,Manhattan,"(215, 222)",0.260548661006,B.B. King Blues Club & Grill,http://www.yelp.com/biz/b-b-king-blues-club-and-grill-new-york-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
101,slate lounge,40.7411752,-73.9932217,4011.0,Manhattan,"(212, 210)",0.261985630307,Slate,http://www.yelp.com/biz/slate-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
102,studio 21,40.7415441,-73.9932293,4011.0,Manhattan,"(212, 210)",0.261985630307,21 Studio Nail,http://www.yelp.com/biz/21-studio-nail-chappaqua?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
103,taj,40.7410469,-73.9929175,4011.0,Manhattan,"(212, 210)",0.261985630307,Taj Lounge,http://www.yelp.com/biz/taj-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
104,angel's share,40.72985,-73.989168,4058.0,Manhattan,"(215, 201)",0.265055519268,Angel's Share,http://www.yelp.com/biz/angels-share-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
105,lit nyc,40.7271902,-73.9890688,4086.0,Manhattan,"(215, 199)",0.266884389288,Lit NYC Gentleman's Club,http://www.yelp.com/biz/lit-nyc-gentlemans-club-queens-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
106,lumos bar,40.72719,-73.99999,4138.0,Manhattan,"(206, 199)",0.270280862182,Lumos Bar,http://www.yelp.com/biz/lumos-bar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
